,CAND_ID,VOTECOUNT,VOTESHARE,WIN_LOSS
0,H0AL02087,113103.0,67.34,1
1,H0AL05163,115338.0,74.42,1
2,H0AL07086,133687.0,98.37,1
3,H0AR01083,124139.0,63.25,1
4,H0AR03055 ,151630.0,79.41,1
5,H0AS00018,3157.0,30.81,0
6,H0AZ01259 ,122560.0,69.96,1
7,H0AZ01325 ,87723.0,47.39,0
8,H0AZ04501,3496.0,4.83,0
9,H0CA03078,92521.0,50.4,1
10,H0CA08069,32197.0,16.75,0
11,H0CA10073,117502.0,67.27,1
12,H0CA10149,79224.0,52.72,1
13,H0CA11337,57729.0,47.63,0
14,H0CA15148,69561.0,51.75,1
15,H0CA17185,35010.0,24.82,0
16,H0CA19173,70582.0,56.15,1
17,H0CA27085,91996.0,76.5,1
18,H0CA27101,45315.0,34.36,0
19,H0CA32101,75728.0,59.36,1
20,H0CA33117,96787.0,84.28,1
21,H0CA34099,19171.0,38.82,0
22,H0CA48024,98161.0,60.17,1
23,H0CA49055,87104.0,58.84,1
24,H0CT03072,130009.0,61.93,1
25,H0CT04146,88209.0,44.37,0
26,H0CT05127,1970.0,0.92,0
27,H0CT05150,92404.0,43.32,0
28,H0DC00058 ,143923.0,83.73,1
29,H0DE01017,137251.0,59.26,1
30,H0DE01025,85146.0,36.76,0
31,H0FL02110 ,123262.0,49.35,0
32,H0FL02136,6671.0,2.7,0
33,H0FL04033,13.0,0.01,0
34,H0FL04066 ,177887.0,78.28,1
35,H0FL04116 ,13690.0,6.02,0
36,H0FL05139 ,181508.0,66.66,1
37,H0FL08208 ,143128.0,61.54,1
38,H0FL12101,128750.0,60.28,1
39,H0FL17068 ,129192.0,86.18,1
40,H0FL19080,153395.0,99.63,1
41,H0GA07125,130703.0,66.52,1
42,H0GA07133,113557.0,65.39,1
43,H0GA08099,129938.0,99.91,1
44,H0GA09030,118782.0,100.0,1
45,H0HI01157,86454.0,48.07,0
46,H0ID01253 ,143580.0,65.01,1
47,H0IL05096,116364.0,63.23,1
48,H0IL09080,72384.0,33.91,0
49,H0IL10302 ,95992.0,51.3,1
50,H0IL11052 ,153388.0,70.62,1
51,H0IL14080 ,145369.0,65.41,1
52,H0IL17059 ,88785.0,44.53,0
53,H0IN02125 ,102187.0,65.9,1
54,H0IN02190 ,85583.0,58.94,1
55,H0IN03198 ,102889.0,69.15,1
56,H0IN04170,94998.0,66.87,1
57,H0IN08114,103344.0,60.32,1
58,H0IN09070 ,101594.0,62.56,1
59,H0KS03137,134493.0,60.02,1
60,H0KS04051,138757.0,66.66,1
61,H0KY05015,171350.0,78.25,1
62,H0KY06104,147404.0,59.99,1
63,H0LA01087,189250.0,77.56,1
64,H0LA08017,17877.0,7.46,0
65,H0MA10082,140413.0,54.95,1
66,H0MI01088,130414.0,52.14,1
67,H0MI01187,2631.0,1.05,0
68,H0MI02086,2776.0,1.3,0
69,H0MI02094,135568.0,63.63,1
70,H0MI03126,125754.0,57.91,1
71,H0MI08109,2559.0,1.24,0
72,H0MN01045,103536.0,45.67,0
73,H0MN04049 ,147857.0,61.19,1
74,H0MO01066 ,119315.0,72.98,1
75,H0MO02213,75384.0,32.62,0
76,H0MO03179,8593.0,4.48,0
77,H0MO04086 ,120014.0,68.08,1
78,H0MO04151,66.0,0.03,0
79,H0MO06073 ,124616.0,66.65,1
80,H0MO07113 ,104054.0,63.46,1
81,H0MO08277,3759.0,2.36,0
82,H0MS01043,102622.0,67.91,1
83,H0MS04120,108776.0,69.92,1
84,H0NC02059,122128.0,58.83,1
85,H0ND01026,138100.0,55.54,1
86,H0NE03191 ,459.0,0.27,0
87,H0NH01217,125508.0,51.71,1
88,H0NH02181,130700.0,54.87,1
